-1.35707,0.3271992,-1.359782,0.4405238,-1.380705,0.215685,-1.404366,-0.04129072,-1.363882,-0.2811924,-1.359237,-0.3448452,-1.391627,-0.2568235,-1.419788,-0.5922184,-1.476327,-1.024455,-1.344642,-1.06572,-1.355734,-0.4159926,636462613439581729
-1.357153,0.3263806,-1.359703,0.4397977,-1.381243,0.2148645,-1.404334,-0.0425938,-1.363889,-0.2812005,-1.359289,-0.3453791,-1.391796,-0.2575887,-1.40758,-0.5431764,-1.460657,-1.01114,-1.328817,-1.052224,-1.351538,-0.4173812,636462613439854287
-1.357038,0.3261746,-1.35985,0.439587,-1.381315,0.2147846,-1.405514,-0.03993949,-1.363774,-0.2838047,-1.359097,-0.3408848,-1.391852,-0.2576736,-1.417682,-0.5855644,-1.473392,-1.023817,-1.34186,-1.065047,-1.349735,-0.4130638,636462613440264284
-1.356951,0.32579,-1.35997,0.4391861,-1.381424,0.2138203,-1.405876,-0.04248737,-1.366042,-0.2715386,-1.359997,-0.3416678,-1.392051,-0.2577538,-1.417729,-0.5855164,-1.473274,-1.023867,-1.342493,-1.064898,-1.346557,-0.4140526,636462613440629390
-1.356923,0.3253883,-1.359949,0.4387642,-1.381534,0.2136492,-1.407987,-0.03705701,-1.363045,-0.2924704,-1.359934,-0.350257,-1.392098,-0.2585668,-1.414571,-0.5648459,-1.47252,-1.022599,-1.341208,-1.063797,-1.359121,-0.4199498,636462613440989668
-1.3569,0.3250184,-1.360529,0.4384766,-1.381318,0.2124733,-1.406289,-0.04311285,-1.363364,-0.2895977,-1.359958,-0.3501631,-1.392224,-0.25834,-1.417666,-0.5777203,-1.475407,-1.022716,-1.344161,-1.063984,-1.352422,-0.418666,636462613441269650
-1.356929,0.3243919,-1.360744,0.4379113,-1.381359,0.2124397,-1.406001,-0.04614901,-1.364288,-0.2848392,-1.360077,-0.3493935,-1.392412,-0.2578935,-1.418214,-0.5788134,-1.475986,-1.022634,-1.345038,-1.063839,-1.349504,-0.4166503,636462613441609939
-1.35702,0.3235809,-1.361186,0.4369019,-1.381644,0.2111052,-1.405453,-0.05054727,-1.364435,-0.2846323,-1.361018,-0.3477788,-1.392393,-0.2577277,-1.418262,-0.5793108,-1.475865,-1.022269,-1.344991,-1.063462,-1.360243,-0.4163268,636462613441890340
-1.357027,0.3234808,-1.361446,0.4368773,-1.381763,0.2111008,-1.407602,-0.03993116,-1.36598,-0.2875235,-1.364402,-0.3476233,-1.392521,-0.2569721,-1.418511,-0.5797555,-1.475806,-1.021123,-1.344974,-1.062332,-1.359349,-0.4178254,636462613442240341
-1.357023,0.3234817,-1.361101,0.4368645,-1.381766,0.2111018,-1.407505,-0.03858315,-1.36572,-0.2956974,-1.362221,-0.350671,-1.392501,-0.2563582,-1.418355,-0.5796564,-1.475203,-1.019994,-1.344502,-1.061172,-1.355823,-0.4183458,636462613442640417
