-0.8307795,0.4621874,-0.7918286,0.5687778,-0.8610821,0.3295678,-0.9239695,0.09983864,-0.8248984,-0.1574573,-0.8046998,-0.2197794,-0.8477533,-0.1737205,-0.8823896,-0.5113252,-0.9602094,-0.8679188,-0.8844931,-0.9612982,-0.773445,-0.2948811,636445451324615367
-0.8311663,0.4620253,-0.7924485,0.568496,-0.8613786,0.3294372,-0.9240582,0.09947299,-0.8257943,-0.1580294,-0.8035611,-0.22505,-0.8477898,-0.1741377,-0.8825018,-0.5115604,-0.960248,-0.8678759,-0.8831457,-0.962582,-0.7703765,-0.2954851,636445451324895400
-0.831664,0.461808,-0.7930831,0.5682469,-0.8620045,0.3292923,-0.9243075,0.09919974,-0.8266513,-0.1584434,-0.8048056,-0.2270331,-0.8478257,-0.1743437,-0.8825002,-0.5115349,-0.960279,-0.8678392,-0.883513,-0.9627166,-0.7731645,-0.2957092,636445451325325744
-0.8322711,0.4612747,-0.7937335,0.5675761,-0.8628408,0.329045,-0.9250163,0.09882838,-0.8377837,-0.1410318,-0.8078498,-0.2225363,-0.8476198,-0.1742369,-0.882566,-0.5113753,-0.9602903,-0.8674034,-0.8841882,-0.9623022,-0.7766807,-0.2945517,636445451325565778
-0.8323395,0.4612075,-0.7938937,0.5674999,-0.8632326,0.3290562,-0.9257419,0.09727976,-0.836664,-0.1462069,-0.8100004,-0.2263909,-0.8469141,-0.1741799,-0.8826416,-0.5113398,-0.9602835,-0.8683388,-0.8842672,-0.9621286,-0.7799634,-0.2964282,636445451325935529
-0.8326912,0.4612526,-0.7942957,0.5675161,-0.8640274,0.3287449,-0.9264907,0.09655157,-0.8333566,-0.162608,-0.8125972,-0.2208962,-0.8466479,-0.174081,-0.8827998,-0.511292,-0.9602913,-0.8683821,-0.8839847,-0.9602854,-0.7814047,-0.2941536,636445451326240964
-0.8330867,0.461011,-0.7946807,0.5671749,-0.8644019,0.328739,-0.9272905,0.09631158,-0.8358075,-0.1631843,-0.8156469,-0.2229142,-0.8466392,-0.1740531,-0.8828123,-0.5107964,-0.9605156,-0.8674843,-0.8846558,-0.9601312,-0.7843082,-0.2986221,636445451326635967
-0.8332272,0.4609316,-0.7949965,0.5670959,-0.8647966,0.3287781,-0.9281603,0.09555385,-0.8367048,-0.1638546,-0.8174997,-0.2234663,-0.8464329,-0.1739199,-0.8828694,-0.5108074,-0.9606134,-0.8682427,-0.8855778,-0.9610882,-0.787763,-0.2997771,636445451326896742
-0.8333151,0.4608532,-0.7951086,0.5669535,-0.8651434,0.3285968,-0.9287629,0.09439512,-0.837067,-0.1648323,-0.8175847,-0.2249882,-0.8462825,-0.1733474,-0.8824265,-0.5107758,-0.9605842,-0.8684464,-0.8860785,-0.960726,-0.7885134,-0.2999058,636445451327271855
-0.8333924,0.4603383,-0.7951108,0.5664225,-0.8652675,0.3283998,-0.9289384,0.09426071,-0.8378037,-0.1650695,-0.8184988,-0.2248895,-0.8467777,-0.1729341,-0.8805671,-0.5098439,-0.9601709,-0.8689348,-0.8857492,-0.9609671,-0.7880956,-0.2997501,636445451327557123
-0.8329641,0.4600871,-0.7947737,0.566108,-0.8653603,0.3283816,-0.9290549,0.09401771,-0.838226,-0.1653058,-0.8181763,-0.2288885,-0.8469997,-0.1727517,-0.8793964,-0.5093058,-0.9594018,-0.8707647,-0.8849394,-0.9608599,-0.7896302,-0.3063104,636445451327972897
-0.8324243,0.4601628,-0.7938582,0.5658666,-0.8646786,0.3280504,-0.9287624,0.09409093,-0.8382865,-0.1652546,-0.8181953,-0.2288074,-0.8467709,-0.172554,-0.8784913,-0.50876,-0.9584296,-0.8730901,-0.8843774,-0.96129,-0.7878758,-0.305352,636445451328237915
-0.8301446,0.4595572,-0.7919858,0.5653689,-0.8636919,0.3286005,-0.9270194,0.09580719,-0.837323,-0.1638546,-0.8164848,-0.2286377,-0.8469956,-0.1707747,-0.8779964,-0.5086422,-0.9579059,-0.874441,-0.8844122,-0.9614773,-0.7861444,-0.3050414,636445451328583109
-0.8274012,0.4587438,-0.7894579,0.5646237,-0.8615087,0.3288184,-0.9242775,0.09539777,-0.8307482,-0.1629203,-0.8133496,-0.2239429,-0.8470353,-0.1704866,-0.8773787,-0.5090982,-0.9579437,-0.8747168,-0.8833888,-0.9634514,-0.7797026,-0.2997576,636445451328884032
-0.8233936,0.4583488,-0.7853599,0.5642611,-0.8576292,0.3296805,-0.9183193,0.1007847,-0.8266347,-0.1585133,-0.8081766,-0.2201744,-0.8472976,-0.1710654,-0.8767352,-0.5095146,-0.9574261,-0.8757839,-0.8833744,-0.9634396,-0.7717825,-0.293794,636445451329324025
-0.8196735,0.4578549,-0.781828,0.5641252,-0.8526091,0.329976,-0.9131805,0.1050078,-0.8202291,-0.1539616,-0.7997504,-0.2164954,-0.8465766,-0.1719502,-0.8756302,-0.5098217,-0.9564688,-0.8763568,-0.8831764,-0.9637675,-0.7560406,-0.2853291,636445451329564033
-0.8150669,0.4573312,-0.7769614,0.5635772,-0.8472576,0.329235,-0.9089577,0.1075048,-0.8118833,-0.1501565,-0.783582,-0.2131748,-0.8458111,-0.1725752,-0.8749591,-0.5113076,-0.9565319,-0.8769346,-0.8821778,-0.9644384,-0.7407117,-0.2796825,636445451329967051
-0.8087409,0.4563344,-0.771556,0.5638076,-0.8423979,0.3296854,-0.9027014,0.1108723,-0.8018209,-0.1456482,-0.7704995,-0.2086913,-0.8436656,-0.1737536,-0.874795,-0.512113,-0.956237,-0.8774468,-0.8821293,-0.9651195,-0.7243582,-0.2727302,636445451330227052
